title,link,intro,objective,outline
3D Printing for Advanced Metallic Products - Basic,https://www.ntu.edu.sg/pace/programmes/detail/3d-printing-for-advanced-metallic-products---basic,Introduction This course introduces the current landscape of 3D printing followed by specific discussions on established 3D printing techniques for metals The participants will learn about the available techniques and the related processes to complete the production chain This course also provides opportunity for guided hands on experience in file preparation for metals 3D printing,At the end of this course the learners will Understand the current progress in 3D printing for metals Introduction to 3D printing processes for metals Introduction to file preparation for metal 3D printing Hands on experience on computer aided design (CAD) and STL file preparation,Day 1 Overview of 3D printing processes and landscape with focus on metal 3D printing Introduction to metals and alloys Traditional Manufacturing Processes for metals Introduction to 3D printing for metals powder bed fusion and directed energy deposition Design for metal 3D printing (CAD Introduction Demonstration Hands on Introduction to support structures for metal 3D printing Day 2 In depth Introduction to 3D printing processes for metals powder bed fusion and directed energy deposition Market Trends and Applications File Repair Introduction Demonstration Hands on
3D Printing of Advanced Metallic Products - Intermediate,https://www.ntu.edu.sg/pace/programmes/detail/3d-printing-of-advanced-metallic-products---intermediate,Introduction 3D printing or formally known as additive manufacturing is an integral part of Industry 4 0 With the advancement in this field there are new opportunities in design and manufacturing of functional products Metals or alloys are important materials in many industries including aerospace biomedical automotive This course covers a wide range of topics that are essential for 3D printing of metals This course build on the introduction to 3D printing for metals followed by specific discussions on emerging 3D printing techniques for metals The participants will learn about these new techniques and the related processes to complete the production chain This course also provides opportunity for hands on experience in advanced designs for 3D printing Participants will have the opportunity to partake in discussions about 3D printing process chain material character is ation and post processing techniques for metals This course is designed for all level of participants who are keen to gain more in depth understanding of the current progress of 3D printing for metals,At the end of this course the learners will Introduction to advanced materials processing for metal 3D printing Exposure to emerging applications such as multi materials and metal matrix composites Introduction to design constraint and supports generation in metal 3D printing Understand measurements and character is ation techniques used in metal 3D printing Learning and discussion on metal 3D printing including post processing,Day 1 Introduction to 3D Printing of metals revision on powder bed fusion and directed energy deposition Introduction to emerging techniques in metal 3D printing HP Desktop Metal Mark forge etc Post processing of 3D printed metals Design for metal 3D printing hands on session Build Orientation Design Consideration for Lattices and Thin Features Cost Driven Designs Introduction Demonstration and Hands on Day 2 Processes of 3D printed metals multi materials and metal matrix composites Standards testing and measurement of printed metals Design for metals 3D Printing Support structures design and consideration
3D Printing of Electronics and Sensors,https://www.ntu.edu.sg/pace/programmes/detail/3d-printing-of-electronics-and-sensors,Introduction 3D printing also known as additive manufacturing is an integral part of Industry 4 0 in the cyber physical world With the advancement in 3D Printing there are new opportunities in creation of smart functional products with complex design New products can now be integrated with sensing and electronics components to achieve more functions This course covers the fundamental topics that are essential for 3D printing of electronics and smart sensors This course introduces the current landscape of 3D printing followed by specific discussions on established 3D printing techniques for electronics The participants will learn about the available techniques and the advantages of 3D printing process compared to conventional electronics manufacturing processes We will also cover the topics such as electronics inks for 3D printing and sintering processes for function aliz ation of printed electronics This course also provides opportunity for guided hands on experience in design data preparation for electronics 3D printing Lastly we will discuss the latest applications and potential of 3D printed electronics This course is designed for all levels of participants who are keen to gain overall understanding of the current progress of 3D printing for electronic and sensors,At the end of this course the learners will Understand the current progress and potential in 3D printing for electronics Introduction to 3D printing processes for electronics Introduction to materials and sintering processes for electronics 3D printing Hands on experience on design and data file preparation,Day 1 Overview of 3D printing landscape with focus on electronics 3D printing Traditional Manufacturing Processes for electronics Introduction to conductive ink and sintering processes Design and file processing of electronics printing (CAD Introduction Demonstration Hands on Day 2 3D electronics processes extrusion printing inkjet printing aerosol jet printing PCB printing Advanced applications in 3D printing for electronics printing Course Assessment Summary and Discussion
3D Printing of Medical Devices and Tissues for the Future of Healthcare,https://www.ntu.edu.sg/pace/programmes/detail/3d-printing-of-medical-devices-and-tissues-for-the-future-of-healthcare,Introduction 3D printing creates new opportunities in design and creation of advanced healthcare therapeutic solutions Rapid development of the technologies can be seen in various biomedical applications from low risk devices to high risk implants and even bio printing of tissues This course provides a comprehensive introduction of the technologies tailored for healthcare applications while addressing the critical regulatory requirement in 3D printing This course introduces the current landscape of 3D Printing followed by specific discussion on 3D printed medical parts and bio printing The participants will learn about the overall qualification processes materials and regulatory requirements in 3D printing of medical parts This course also covers key elements such as software and data processing of medical images A lab tour session is also included to encourage learning by experience,At the end of this course the learners will learn 1 Exposure to 3D printing process and their applications in the biomedical and biotechnology industry 2 Gain overall understanding of bio printing technologies 3 Learn about software and data processing of medical images 4 Understand materials testing and regulatory aspect in 3D printing of medical devices 5 Experiential session including printers and data processing demonstration,Day 1 1 Overview of 3D Printing processes and biomedical landscape 2 Applications including bio model medical parts such as scaffolds and implants for tissue engineering medical devices and organ fabrication 3 Materials and processes in 3D printing and Bio printing 4 Lab tour Electron Beam Melting Selective Laser Melting Fused Deposition Modelling Poly jet Bio printer Day 2 5 Workshop on 3D Bio printing 6 Lab tour to experience material viscosity material formulation bio printing of soft material 7 Testing and regulatory aspect in 3D printing of medical devices 8 Other bio fabrication techniques
5G-Based Localization Methods,https://www.ntu.edu.sg/pace/programmes/detail/5g-based-localization-methods,Introduction This course aims to prepare you for understanding how to utilize 5G NR signals for potential localization applications Besides recognized as advanced communication technique 5G is also capable of fulfilling localization purpose By introducing the fundamentals of 5G OFDM signal and concept of TOA time of arrival this course aims to prepare you for understanding how to utilize 5G NR signals for potential localization applications,At the completion of training participants will be able to Understand the fundamentals of 5G OFDM signal Describe how the TOA time of arrival /TDOA time difference of arrival based positioning methods work in LTE/5G systems Understand the implementation of standards compliant positioning function in 5G,5G NR signal fundamentals and corresponding terminology Concepts of TOA time of arrival and TDOA time difference of arrival Positioning methods for LTE/5G Positioning reference signal (PRS) and standards compliant positioning methods in 5G
AB1201 Financial Management,https://www.ntu.edu.sg/pace/programmes/detail/ab1201-financial-management,Introduction After taking this course students will be well prepared for other advanced courses in finance such as Advanced Corporate Finance Equity Securities Fixed Income Securities Derivatives Securities and International Financial Management This is a single credit bearing course from NTU Undergraduate Degree Programmes,This course aims to provide participants with a broad understanding of all the important financial principles concepts and analytical tools It is essential for participants to have a good understanding of the various financial aspects of a corporation,This course include the understanding and analysis of financial statements fundamental concepts such as the time value of money risk and return corporate financing choices and investment analysis and financial risk management
AB1202 Statistics and Analysis,https://www.ntu.edu.sg/pace/programmes/detail/ab1202-statistics-and-analysis,Introduction At the end of the course students should have mastered the syllabus topics which cover fundamental probability and statistical concepts theory solution methods and application areas Students will also learn to infer from the quantitative results to give a real life interpretation of the numbers and how the results impact the decisions This is a single credit bearing course from NTU Undergraduate Degree Programmes,At the end of the course students should have mastered the syllabus topics which cover fundamental probability and statistical concepts theory solution methods and application areas Students will also learn to infer from the quantitative results to give a real life interpretation of the numbers and how the results impact the decisions,In this course we will examine concepts theory and quantitative methods of applications to statistics especially when applied in business situations As a first course in statistical study the emphasis will be on broad coverage of important statistical concepts and sufficient depth to allow for creative applications of topics to new business situations Provision is also made to expose students to use of advance calculator features and computer software such as spreadsheets Ability to exploit these computational tools will lift the students ability to deal with more conceptually complex problems in which precise calculations and mechanical applications of formulas will be relegated to calculators and computer software
"ARM Processor for Embedded IoT System: Architecture, Interfacing and Programming",https://www.ntu.edu.sg/pace/programmes/detail/arm-processor-for-embedded-iot-system-architecture-interfacing-and-programming,Introduction In this Industry 4 0 revolution our lives depend on embedded technology which are used in home appliances smart phones mobile devices ultra HD tablets e readers wearable devices smart TVs smart cards supercomputers smart cars smart industry I oT spacecraft networking infrastructure servers smart humanoid robots AI etc and ARM technology is at the heart of all embedded systems The embedded technology is a revolution that is transforming the way we live and businesses operate In 2019 ARM partners shipped more than 150 billion ARM powered microprocessor chips which is expected to grow to 1 Trillion by 2035 The purpose of this course is to explain Core Features of ARM embedded processor architecture its hardware interface and software programming via hands on examples exercises and projects,The course intends to provide participants the understanding of the instruction set architecture memories peripherals organization and operation of the ARM microprocessors At the end of the course participants should be able to program the ARM microprocessor develop debugging skills and perform hardware I/O interfacing,Introduction to Embedded System Fundamental concepts numbers and computers Introduction and Evolution of ARM Processors ARM Architecture Registers CPU Modes System and Bus Structure Pipeline overview Memory Map and Memory Organization ARM Assembly Language Programming Instruction Set Architecture Assembler Rules and Directives Loads Stores and Addressing Constants and Literal Pools Branches and Loops Tables Subroutines and Stacks Exception Handling Memory Mapped Peripherals Embedded software development and debugging using Kei l Vision software ARM Embedded C language and Assembly Mixing Real World Hands on Programing Example development debugging and Training
Accounting & Finance for Advanced Manufacturing,https://www.ntu.edu.sg/pace/programmes/detail/accounting-finance-for-advanced-manufacturing,Introduction Advanced Manufacturing the use of advanced technologies in manufacturing has not only enabled factories to produce more technically sophisticated products but also allow them to adjust their production more flexibly Flexible manufacturing gives companies an edge as it adjusts to customers demand for greater variety faster product introduction and shorter product life cycles while maintaining a consistently high product quality This competitive edge can turn into competitive advantage if cost is kept low at the same time and pricing set at a competitive level However investment in Advanced Manufacturing does not come low and justifying it may pose a challenge for Management This course provides an Overview of Manufacturing Accounting Discuss the Cost Impact from adoption of Advanced Manufacturing Explores Issues affecting the Investment Decision and Introduces the Techniques to evaluate it Finally it recommends using an Activity Based Costing System to track and refine product costing to allow companies to make better pricing decisions for more competitive wins in the market place Details,At the end of this programme participants will be able to Understanding the various aspects of manufacturing accounting Understanding the positive impact on cost drivers from introduction of advanced technologies Understanding the other not so easily quantifiable benefits of advanced manufacturing Build a financial investment case for advanced technologies evaluation of it via discounted cash flow techniques Sharpen a company s competitive advantage via better costing system and better pricing decision,1 The Manufacturing Profit Loss (P/L) Actual vs Standard Costing Inventory Valuation Marginal vs Full Absorption Manufacturing Variances in Standard Costing Significant Manufacturing Cost Items to Watch Cost Reductions Sourcing Productivity Efficiencies 2 Financial Benefits of Advanced Manufacturing Impact on Manufacturing Cost Drivers Impact on Inventory Cost Other Qualitative Indirect Financial Benefits 3 Justifying Capital Investment in Advanced Manufacturing Financial Measures Traditional vs Advanced Manufacturing Capital Evaluation of Advanced Manufacturing Investments a Cost of Capital b Concept of Cash Flows Time Value of Money c Building Up a Financial Investment Case d Net Present Value (NPV) e Internal rate of Return (IRR) f Other Considerations 4 Better Costing System Better Pricing Decisions Direct Indirect Costs in Manufacturing Activity Based Costing System a Implementation Methodology b Comparison with alternative method Pricing Methodologies
"Achieving Peak Performance with Mental Skills, Emotional Strength & Team Approach",https://www.ntu.edu.sg/pace/programmes/detail/achieving-peak-performance-with-mental-skills-emotional-strength-team-approach,Introduction To operate more effectively in a rapidly evolving market environment and workplace executives and managers need to develop the strength and capacity to stay productive It is about taking personal responsibility and stay motivated to thrive and prosper It is about building the resilience to recognise the potential problems and delays and be able to set and balance competing work priorities Everyone can learn how to adapt well in the face of challenges adversity or significant sources of stress Learning how to set effective goals and working together to achieve it will build a culture of collaboration and high performance All these are within reach when we develop the necessary mental skills emotional regulation and team approach in goal achievement,At the end of this programme participants will be able to Strengthen personal resilience for managing change Enhance focus and attention for peak performance at work Develop constructive narratives for emotional strength Learn team approach for goal achievement,Introduction achieving sustainable results at work Cultivating attention and focus for performance Regulating emotions for peak performance Creating constructive narratives for team performance Employing team approach for goal achievements
